field_1,Agency_Code,Project,National_Station_ID,Latitude,Longitude,Deployment,Deployment_Position,Vertical_Reference,Calculated_mAHD
0,DWER,CSMOORING,"6147030",-32.15660018,115.7027292,Profile,m from Surface,Water Surface,-22.2603
1,DWER,CSMOORING,"6147035",-32.2001199,115.7406544,Profile,m from Surface,Water Surface,-16.6408
2,DWER,CSMOORING,"6147031",-32.25080006,115.7283213,Profile,m from Surface,Water Surface,-19.1526
3,DWER,CSMOORING,"6147034",-32.26240154,115.714178,Profile,m from Surface,Water Surface,-18.1561
4,DWER,csmooring,dwermooring6147032,-32.19228159,115.7452496,Floating,1.0m below Surface,m below Surface,-4.7447
5,DWER,CSMWQ,"6141432",-32.2745,115.7025,Profile,m below Surface,m below Surface.,0
6,DWER,csmooring,dwermooring6147033,-32.27286493,115.7026804,Floating,1.0m below Surface,m below Surface,-1.0477
7,DWER,CSMWQ,"6142830",-32.140024,115.762558,Profile,m below Surface,m below Surface.,-5.9675
8,DWER,csmooring,dwermooring6147036,-32.15743127,115.6793039,Floating,1.0m below Surface,m below Surface,-5.2807
9,DWER,csmooring,dwermooring6147037,-32.18669751,115.7598478,Floating,1.0m below Surface,m below Surface,-8.2209
10,DWER,CSMWQ,"6142971",-32.152366,115.720158,Profile,m below Surface,m below Surface.,-19.3144
11,DWER,CSMWQ,"6142972",-32.14648,115.756724,Profile,m below Surface,m below Surface.,-10.8501
12,DWER,CSMWQ,"6142973",-32.170703,115.762483,Profile,m below Surface,m below Surface.,-11.1732
13,DWER,CSMWQ,"6142974",-32.197565,115.719833,Profile,m below Surface,m below Surface.,-20.3222
14,DWER,CSMWQ,"6142975",-32.209851,115.759566,Profile,m below Surface,m below Surface.,-12.4997
15,DWER,CSMWQ,"6142976",-32.238934,115.751412,Profile,m below Surface,m below Surface.,-16.8257
16,DWER,CSMWQ,"6142977",-32.2565,115.740864,Profile,m below Surface,m below Surface.,-17.6492
17,DWER,CSMWQ,"6142980",-32.229518,115.697969,Profile,m below Surface,m below Surface.,-12.0351
